date,hour,USD_per_MWh,wind Hatchet MWh
1/1/2018,1,36.73841,0
1/1/2018,2,35.25013,0
1/1/2018,3,33.39028,0
1/1/2018,4,32.1203,0
1/1/2018,5,32.10239,3.29797
1/1/2018,6,33.37623,13.1282
1/1/2018,7,35.06739,13.2544
1/1/2018,8,34.31161,12.8435
1/1/2018,9,30.38762,10.6999
1/1/2018,10,26.12422,9.1187
1/1/2018,11,24.53215,10.0528
1/1/2018,12,23.71713,8.68562
1/1/2018,13,22.6968,11.1456
1/1/2018,14,23.80277,12.0014
1/1/2018,15,26.26349,13.1881
1/1/2018,16,31.93164,13.5791
1/1/2018,17,38.57011,13.5922
1/1/2018,18,48.92174,13.6
1/1/2018,19,53.53226,13.5137
1/1/2018,20,51.19792,13.1775
1/1/2018,21,42.60589,7.65172
1/1/2018,22,40.44361,12.6775
1/1/2018,23,38.1488,13.6
1/1/2018,24,35.29756,13.6
1/2/2018,25,36.00207,13.6
1/2/2018,26,35.08843,13.6
1/2/2018,27,34.3355,13.6
1/2/2018,28,33.34284,12.9528
1/2/2018,29,34.933,13.6
1/2/2018,30,36.84469,0.149374
1/2/2018,31,44.16062,0.0417118
1/2/2018,32,50.06561,5.36036
1/2/2018,33,37.29134,0.249103
1/2/2018,34,33.5716,2.21264
1/2/2018,35,31.88994,0.604642
1/2/2018,36,31.10848,3.44781
1/2/2018,37,31.34713,4.78552
1/2/2018,38,33.0027,7.7104
1/2/2018,39,33.52327,3.59254
1/2/2018,40,38.87016,4.82016
1/2/2018,41,43.15519,3.96858
1/2/2018,42,62.27288,3.04138
1/2/2018,43,58.83191,0.973578
1/2/2018,44,58.69918,12.7487
1/2/2018,45,53.66991,0
1/2/2018,46,42.85069,12.9172
1/2/2018,47,39.39551,2.50287
1/2/2018,48,36.35585,0.0763532
1/3/2018,49,35.82103,0
1/3/2018,50,35.31627,13.4893
1/3/2018,51,33.7068,3.78568
1/3/2018,52,33.48941,11.8286
1/3/2018,53,35.03069,0
1/3/2018,54,40.60387,9.62315
1/3/2018,55,47.67779,2.1645
1/3/2018,56,47.46205,0
1/3/2018,57,37.03507,0.661709
1/3/2018,58,32.93385,7.77371
1/3/2018,59,28.6109,3.11502
1/3/2018,60,27.92432,4.26862
1/3/2018,61,27.76212,6.52949
1/3/2018,62,33.17785,6.71156
1/3/2018,63,34.1015,4.35282
1/3/2018,64,37.50242,8.44817
1/3/2018,65,64.47854,13.5896
1/3/2018,66,89.375,9.04704
1/3/2018,67,74.62912,13.5816
1/3/2018,68,74.2454,3.03695
1/3/2018,69,71.38041,0
1/3/2018,70,60.50793,13.3067
1/3/2018,71,46.69835,0.475753
1/3/2018,72,40.99363,7.35225
1/4/2018,73,38.66924,4.96611
1/4/2018,74,36.22016,0
1/4/2018,75,35.47073,10.3624
1/4/2018,76,34.75646,13.6
1/4/2018,77,36.85574,13.263
1/4/2018,78,42.36416,9.09043
1/4/2018,79,55.24856,9.65978
1/4/2018,80,47.07989,2.23617
1/4/2018,81,34.16881,2.41649
1/4/2018,82,28.73313,0.363263
1/4/2018,83,27.12789,0.327292
1/4/2018,84,26.03344,0.813646
1/4/2018,85,26.66671,1.02543
1/4/2018,86,28.009,1.305
1/4/2018,87,28.90218,1.62515
1/4/2018,88,35.21374,1.64475
1/4/2018,89,58.73635,0.327277
1/4/2018,90,80.70196,2.04734
1/4/2018,91,68.37165,4.24036
1/4/2018,92,70.31127,8.03411
1/4/2018,93,70.17943,9.73789
1/4/2018,94,56.16321,3.5909
1/4/2018,95,46.56144,0.218801
1/4/2018,96,41.20339,1.55288
1/5/2018,97,30.98062,0.706972
1/5/2018,98,29.84293,3.78716
1/5/2018,99,29.69351,2.25765
1/5/2018,100,29.69048,2.2686
1/5/2018,101,29.79409,1.9008
1/5/2018,102,34.21598,2.54124
1/5/2018,103,246.69155,5.81505
1/5/2018,104,78.3937,5.43591
1/5/2018,105,124.85706,5.39181
1/5/2018,106,132.40404,2.30204
1/5/2018,107,111.70996,3.79904
1/5/2018,108,47.09766,4.70614
1/5/2018,109,50.2108,2.8368
1/5/2018,110,87.37602,2.43286
1/5/2018,111,61.66671,2.28648
1/5/2018,112,41.08515,3.09844
1/5/2018,113,102.24195,2.58493
1/5/2018,114,54.82457,3.12346
1/5/2018,115,61.23666,3.38527
1/5/2018,116,53.48169,0.846612
1/5/2018,117,48.42562,0
1/5/2018,118,37.99454,0
1/5/2018,119,36.26969,0
1/5/2018,120,33.72151,0
1/6/2018,121,30.57627,0
1/6/2018,122,30.20468,0
1/6/2018,123,29.36376,0
1/6/2018,124,29.10914,0
1/6/2018,125,28.87281,0
1/6/2018,126,29.45081,0.198571
1/6/2018,127,30.89024,0.221481
1/6/2018,128,31.20403,0.223502
1/6/2018,129,30.03488,0
1/6/2018,130,29.00035,0
1/6/2018,131,27.58488,0.197152
1/6/2018,132,24.91831,0.38245
1/6/2018,133,24.22286,0.380083
1/6/2018,134,23.22672,0.571045
1/6/2018,135,25.22597,0.105626
1/6/2018,136,28.92725,0
1/6/2018,137,33.79438,0
1/6/2018,138,48.59143,0
1/6/2018,139,42.07049,0.120204
1/6/2018,140,39.14495,0.758874
1/6/2018,141,36.38833,0.238954
1/6/2018,142,33.78715,0.0450499
1/6/2018,143,29.75982,0.768637
1/6/2018,144,29.36895,0.36732
1/7/2018,145,29.52551,0.200416
1/7/2018,146,28.38153,0
1/7/2018,147,28.39298,0
1/7/2018,148,28.37814,0
1/7/2018,149,29.48319,0
1/7/2018,150,29.53751,0
1/7/2018,151,30.29626,0
1/7/2018,152,29.57736,0.209402
1/7/2018,153,24.94045,0
1/7/2018,154,22.91895,0.320487
1/7/2018,155,21.32123,1.86038
1/7/2018,156,20.74636,1.29984
1/7/2018,157,19.9742,0.107164
1/7/2018,158,20.78578,5.63138
1/7/2018,159,21.59112,7.88523
1/7/2018,160,28.16613,10.4708
1/7/2018,161,33.6694,2.87026
1/7/2018,162,41.59575,2.6388
1/7/2018,163,47.04257,1.09007
1/7/2018,164,40.97837,1.06028
1/7/2018,165,36.54233,1.73765
1/7/2018,166,33.73394,0
1/7/2018,167,31.78322,0
1/7/2018,168,29.61368,0
1/8/2018,169,28.90444,0
1/8/2018,170,27.75497,0
1/8/2018,171,25.68425,0
1/8/2018,172,25.50972,0
1/8/2018,173,28.72929,0
1/8/2018,174,31.86254,0
1/8/2018,175,36.67023,0
1/8/2018,176,43.79006,0
1/8/2018,177,38.53046,0.253634
1/8/2018,178,35.18001,0
1/8/2018,179,32.2988,0
1/8/2018,180,33.21233,0
1/8/2018,181,32.01819,0
1/8/2018,182,30.53019,0
1/8/2018,183,32.40712,0
1/8/2018,184,35.17392,0
1/8/2018,185,40.64582,0
1/8/2018,186,50.34963,0
1/8/2018,187,52.26074,0
1/8/2018,188,46.73953,0
1/8/2018,189,43.90088,1.65884
1/8/2018,190,34.88218,2.21527
1/8/2018,191,31.60894,0
1/8/2018,192,30.61974,0.780878
1/9/2018,193,29.08329,0.558299
1/9/2018,194,27.81282,0
1/9/2018,195,26.37835,0
1/9/2018,196,26.14291,0.0949184
1/9/2018,197,28.15422,0
1/9/2018,198,30.87374,0
1/9/2018,199,37.82117,0
1/9/2018,200,42.54328,1.22157
1/9/2018,201,35.43244,7.45113
1/9/2018,202,30.83851,8.73957
1/9/2018,203,27.69723,6.183
1/9/2018,204,26.10878,3.20972
1/9/2018,205,26.90378,2.75533
