date,hour,USD_per_MWh,wind Hatchet MWh
1/1/2018,1,36.49167,0
1/1/2018,2,34.80704,0
1/1/2018,3,32.87736,0
1/1/2018,4,31.70155,0
1/1/2018,5,31.86828,0
1/1/2018,6,33.35929,0
1/1/2018,7,35.05672,0
1/1/2018,8,34.5917,0
1/1/2018,9,31.1574,0
1/1/2018,10,27.00854,0
1/1/2018,11,25.49999,0
1/1/2018,12,24.58297,0
1/1/2018,13,23.60156,0
1/1/2018,14,24.65578,0
1/1/2018,15,27.26913,0
1/1/2018,16,32.39598,0
1/1/2018,17,38.53485,0
1/1/2018,18,51.11507,0
1/1/2018,19,49.29272,0
1/1/2018,20,51.32211,0
1/1/2018,21,43.39212,0.337551
1/1/2018,22,40.1935,1.31999
1/1/2018,23,37.88586,2.18166
1/1/2018,24,35.16495,2.93612
1/2/2018,25,35.50764,3.72308
1/2/2018,26,34.46589,7.86604
1/2/2018,27,33.66796,9.27442
1/2/2018,28,32.76136,9.05791
1/2/2018,29,34.42166,7.06716
1/2/2018,30,36.19073,3.80678
1/2/2018,31,43.10801,0.984036
1/2/2018,32,48.97417,0
1/2/2018,33,38.15284,0
1/2/2018,34,35.36303,0
1/2/2018,35,33.73603,0
1/2/2018,36,32.99982,0
1/2/2018,37,33.03099,0
1/2/2018,38,34.55702,1.37046
1/2/2018,39,35.07817,0.69782
1/2/2018,40,38.60873,0.893215
1/2/2018,41,43.23416,2.27595
1/2/2018,42,61.1893,1.37966
1/2/2018,43,58.77709,1.66344
1/2/2018,44,48.89986,1.05269
1/2/2018,45,43.18882,0.678429
1/2/2018,46,41.3832,0.423532
1/2/2018,47,38.64395,0.748031
1/2/2018,48,35.72119,0.900316
1/3/2018,49,34.83401,0.369606
1/3/2018,50,34.18753,0.518698
1/3/2018,51,32.72328,0.472163
1/3/2018,52,32.59855,0.653633
1/3/2018,53,34.10596,0.957654
1/3/2018,54,39.30995,1.66944
1/3/2018,55,46.68515,2.51674
