,scaled variance level,Revenue from hydro storage,Revenue from wind,Revenue from hydro storage,Percentage of revenue from hydro storage
-1,0.5,7.82E+04,6.35E+04,1.46E+04,18.74%
-0.9,0.54,7.87E+04,6.36E+04,1.51E+04,19.22%
-0.8,0.57,7.96E+04,6.36E+04,1.60E+04,20.05%
-0.7,0.62,8.04E+04,6.37E+04,1.67E+04,20.78%
-0.6,0.66,8.10E+04,6.38E+04,1.72E+04,21.23%
-0.5,0.71,8.21E+04,6.39E+04,1.83E+04,22.24%
-0.4,0.76,8.31E+04,6.39E+04,1.92E+04,23.05%
-0.3,0.81,8.40E+04,6.40E+04,2.00E+04,23.77%
-0.2,0.87,8.51E+04,6.41E+04,2.09E+04,24.62%
-0.1,0.93,8.61E+04,6.41E+04,2.19E+04,25.50%
0,1,8.78E+04,6.44E+04,2.34E+04,26.68%
0.1,1.07,8.88E+04,6.45E+04,2.43E+04,27.37%
0.2,1.15,9.06E+04,6.46E+04,2.60E+04,28.67%
0.3,1.23,9.20E+04,6.47E+04,2.73E+04,29.66%
0.4,1.32,9.37E+04,6.49E+04,2.88E+04,30.76%
0.5,1.41,9.57E+04,6.50E+04,3.07E+04,32.04%
0.6,1.52,9.76E+04,6.52E+04,3.24E+04,33.20%
0.7,1.62,9.97E+04,6.54E+04,3.43E+04,34.42%
0.8,1.74,1.02E+05,6.56E+04,3.63E+04,35.65%
0.9,1.87,1.04E+05,6.58E+04,3.82E+04,36.76%
1,2,1.07E+05,6.60E+04,4.11E+04,38.36%
